"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 20 10:45:06 GMT 2025","Tue May 20 10:45:06 GMT 2025","879","","ui.WebFormTest","","ui.WebFormTest","proverkaTextArea","proverkaTextArea()",""
"passed","Tue May 20 10:45:03 GMT 2025","Tue May 20 10:45:04 GMT 2025","750","","ui.HomePageWithPOMTests","","ui.HomePageWithPOMTests","openHomePageTest","openHomePageTest()",""
"passed","Tue May 20 10:45:06 GMT 2025","Tue May 20 10:45:08 GMT 2025","1088","","ui.WebFormTest","","ui.WebFormTest","openWebFormTest","openWebFormTest()",""
"passed","Tue May 20 10:44:51 GMT 2025","Tue May 20 10:44:53 GMT 2025","2108","","ui.HomePageTests","","ui.HomePageTests","clasesTest","clasesTest()",""
"passed","Tue May 20 10:45:03 GMT 2025","Tue May 20 10:45:03 GMT 2025","557","","ui.HomePageTests","","ui.HomePageTests","openHomePageTest","openHomePageTest()",""
"broken","Tue May 20 10:45:11 GMT 2025","Tue May 20 10:45:13 GMT 2025","2469","","ui.WebFormTestForPOM","","ui.WebFormTestForPOM","proverkaTextArea","proverkaTextArea()",""
"passed","Tue May 20 10:45:13 GMT 2025","Tue May 20 10:45:14 GMT 2025","770","","ui.WebFormTestForPOM","","ui.WebFormTestForPOM","openWebFormTest","openWebFormTest()",""
"passed","Tue May 20 10:45:02 GMT 2025","Tue May 20 10:45:03 GMT 2025","789","","ui.HomePageTests","","ui.HomePageTests","openWebFormTest","openWebFormTest()",""
"passed","Tue May 20 10:44:53 GMT 2025","Tue May 20 10:45:02 GMT 2025","8350","","ui.HomePageTests","","ui.HomePageTests","openAllLinks","openAllLinks()",""
"passed","Tue May 20 10:45:14 GMT 2025","Tue May 20 10:45:18 GMT 2025","3791","","ui.WebFormTestForPOM","","ui.WebFormTestForPOM","submitFormTest","submitFormTest()",""
"passed","Tue May 20 10:45:04 GMT 2025","Tue May 20 10:45:05 GMT 2025","734","","ui.NavigationTestForPOM","","ui.NavigationTestForPOM","openNavigationFormTest","openNavigationFormTest()",""
"passed","Tue May 20 10:45:08 GMT 2025","Tue May 20 10:45:08 GMT 2025","765","","ui.WebFormTestForPOM","","ui.WebFormTestForPOM","openWebFormTestWithCheck","openWebFormTestWithCheck()",""
"passed","Tue May 20 10:45:05 GMT 2025","Tue May 20 10:45:06 GMT 2025","908","","ui.WebFormTest","","ui.WebFormTest","proverkaDisabledInput","proverkaDisabledInput()",""
"broken","Tue May 20 10:45:08 GMT 2025","Tue May 20 10:45:11 GMT 2025","2481","","ui.WebFormTestForPOM","","ui.WebFormTestForPOM","proverkaDisabledInput","proverkaDisabledInput()",""
